Country,Region,Income_Level,Year,TB_Cases,TB_Deaths,TB_Incidence_Rate,TB_Mortality_Rate,TB_Treatment_Success_Rate,Drug_Resistant_TB_Cases,HIV_CoInfected_TB_Cases,Population,GDP_Per_Capita,Health_Expenditure_Per_Capita,Urban_Population_Percentage,Malnutrition_Prevalence,Smoking_Prevalence,TB_Doctors_Per_100K,TB_Hospitals_Per_Million,Access_To_Health_Services,BCG_Vaccination_Coverage,HIV_Testing_Coverage
Indonesia,Europe,Upper-Middle,2021,9611,6616,311.5,7.72,50.44,4988,6433,1101151618,58347,3821,36.27,47.5,23.0,7.77,17.84,88.52,92.44,52.97
Pakistan,Europe,High,2007,41388,1092,193.88,26.04,50.46,516,8999,1350442767,13847,5588,61.98,16.51,11.42,8.79,14.26,44.82,70.4,25.56
China,Asia,High,2008,29989,9086,203.09,3.79,77.49,4135,5183,1327389301,3134,3307,38.46,42.38,33.35,3.75,15.82,43.97,93.02,34.79
USA,Africa,High,2021,44332,1284,274.43,11.13,85.51,1942,8745,1111348664,5601,6511,37.87,41.74,21.53,2.47,8.63,83.73,65.11,31.05
Russia,Asia,Lower-Middle,2020,9904,2034,52.74,5.4,84.94,1206,5892,248790526,22650,5438,76.53,12.31,10.36,7.7,6.31,52.89,98.15,59.57
USA,South America,Lower-Middle,2011,34139,9520,372.01,20.8,85.08,3695,529,470164469,26470,7950,30.8,26.33,10.84,8.1,7.69,34.54,81.71,42.29
Nigeria,South America,Lower-Middle,2010,13082,1644,206.84,41.22,66.25,4191,5051,39108139,18393,1294,20.39,6.81,32.89,5.54,2.09,80.4,80.73,25.39
Bangladesh,Africa,Upper-Middle,2001,1363,6307,245.39,29.28,89.72,1348,1464,223278758,19203,707,43.57,20.95,29.6,8.97,12.86,99.27,89.49,55.7
Nigeria,Europe,Lower-Middle,2017,48151,2002,487.41,11.91,50.58,2630,6880,269953011,28326,1749,54.37,37.89,22.73,9.68,3.91,69.62,71.39,66.85
Nigeria,Africa,Low,2008,45413,1745,178.74,2.97,64.05,692,7223,839818754,22989,4506,69.36,15.67,15.71,4.76,15.38,48.46,62.67,71.56
Pakistan,South America,High,2001,28184,1004,327.63,28.12,65.17,3524,7769,430176228,41939,6118,74.68,10.27,21.12,2.3,4.2,56.1,62.88,78.63
Brazil,Africa,Upper-Middle,2001,3555,3341,202.33,7.51,57.45,4377,9260,445736011,46512,8097,66.45,27.82,27.28,5.22,4.95,75.41,66.2,53.74
Russia,Asia,Upper-Middle,2002,12686,8598,448.2,17.79,65.13,2170,9314,13212566,45714,6013,63.86,29.16,35.77,9.9,19.17,79.1,80.25,47.34
Russia,Africa,Upper-Middle,2015,3182,1018,424.91,26.0,76.36,1739,3416,1166917781,58598,6285,66.6,35.41,24.46,3.0,2.56,92.04,91.08,67.89
Nigeria,Europe,Upper-Middle,2018,46150,291,128.4,45.28,73.41,1427,956,802796895,37267,4585,39.01,39.16,14.69,6.21,10.23,93.62,74.48,20.94
Indonesia,Asia,Upper-Middle,2003,38546,4284,348.96,5.01,64.37,4024,4040,794004245,43296,7323,46.77,36.31,6.5,6.97,1.72,90.29,69.77,64.35
Pakistan,North America,Low,2022,47073,8388,41.93,33.76,83.72,28,8337,1365067327,58047,2026,63.15,43.04,11.14,2.22,2.26,75.39,88.9,48.4
Nigeria,South America,High,2024,22332,7399,481.96,1.69,82.17,2662,802,273392513,16876,7987,24.59,15.03,27.76,5.93,12.85,61.49,64.19,51.7
China,South America,Upper-Middle,2017,17497,5211,181.01,31.87,62.63,3810,1146,395804301,20233,3719,40.67,30.64,10.62,3.21,12.8,77.55,83.76,40.74
Bangladesh,Africa,High,2019,35140,8784,417.6,28.03,64.55,474,9564,719482486,11906,4242,48.45,21.2,21.85,8.56,4.27,76.66,55.18,28.91
Brazil,Asia,Lower-Middle,2024,11846,8933,166.03,40.78,62.94,700,564,589557071,28667,987,57.34,48.3,29.46,7.18,17.51,45.26,55.55,48.1
South Africa,North America,Upper-Middle,2017,40991,1075,320.06,27.05,55.8,1020,7047,373087875,31159,5646,54.05,24.81,15.79,8.28,14.19,65.53,81.56,41.57
China,Asia,Upper-Middle,2009,47139,3409,491.96,18.28,83.88,3071,3413,225719027,37479,1339,70.27,48.19,28.42,2.08,6.36,44.58,54.05,87.21
Indonesia,South America,High,2010,49214,5307,439.61,12.89,52.08,4030,2264,1198353339,50043,4720,53.14,39.61,25.34,0.44,5.34,92.94,57.6,86.05
USA,Asia,Upper-Middle,2016,7689,5786,88.58,5.18,56.78,172,1376,1327206637,44874,2200,83.29,37.33,20.36,8.52,15.21,52.63,80.59,65.07
USA,North America,Upper-Middle,2023,46020,7729,278.27,27.2,54.74,1645,958,306788584,44904,7471,46.62,27.12,36.4,3.93,14.81,86.38,71.47,83.26
China,Africa,Upper-Middle,2024,44833,3001,180.78,44.53,87.14,2756,8305,1389289924,8451,8754,56.78,24.95,29.22,1.88,3.4,56.41,77.5,72.59
Nigeria,Europe,Low,2022,22270,8971,222.83,26.22,51.98,304,7819,218384196,56483,1566,20.22,28.69,17.62,1.01,7.31,83.46,97.87,44.21
South Africa,Asia,Low,2023,40210,7439,174.24,37.22,79.91,588,7217,761727164,19657,1454,41.73,18.21,33.15,5.21,4.73,45.46,80.97,62.27
India,Europe,Upper-Middle,2019,47998,2605,174.62,15.62,52.0,1595,9248,637654825,52068,4542,80.66,45.7,30.83,1.59,6.24,83.46,78.95,35.42
India,South America,Low,2015,44651,1200,275.85,22.96,85.39,3390,7429,947275207,34506,6220,43.35,40.74,32.71,5.71,6.11,42.57,68.63,68.1
Indonesia,Africa,Lower-Middle,2019,744,1785,104.06,16.91,91.07,2359,4036,318760665,56364,2403,37.72,41.06,27.43,7.3,19.53,64.36,80.91,23.14
Nigeria,Africa,Upper-Middle,2012,33288,7981,273.32,6.35,71.91,2181,5966,1333060489,28024,630,58.05,24.49,18.28,5.4,15.13,37.95,50.64,78.19
Russia,Asia,Lower-Middle,2001,30305,1088,146.69,21.43,86.2,204,7379,250315309,1240,3379,25.51,8.2,17.2,9.05,15.71,66.95,77.31,60.83
Russia,Africa,High,2023,14417,6419,151.6,38.45,81.79,851,7332,234658234,28959,8343,57.21,35.74,27.9,1.64,5.91,87.45,53.38,24.09
Brazil,Asia,Lower-Middle,2001,46989,7177,371.99,20.35,85.8,4017,2624,911293044,56122,4600,41.26,21.85,9.58,4.99,0.51,82.89,60.79,81.02
South Africa,Asia,High,2024,6267,2962,24.5,32.86,84.5,4594,9165,439937419,12824,3013,46.82,44.17,33.7,1.72,1.63,33.55,77.59,81.44
South Africa,Europe,Upper-Middle,2013,28890,4890,196.66,38.17,59.24,2941,3281,271445011,31599,348,75.4,40.12,17.96,8.77,11.28,64.45,82.73,79.7
USA,Africa,High,2003,10747,1292,209.69,16.81,72.48,455,9039,138919103,44303,4166,66.34,11.54,27.06,9.33,6.07,89.66,68.86,74.2
Pakistan,Asia,High,2016,4015,9014,247.7,40.08,93.22,89,7394,407618524,10227,94,51.23,32.08,22.47,4.06,4.26,75.51,70.53,67.45
Indonesia,Europe,Lower-Middle,2012,35178,8148,337.82,17.61,65.46,4850,5688,142032461,57143,7697,60.43,36.15,23.18,3.13,1.47,34.14,74.4,47.78
India,North America,Lower-Middle,2003,22766,3462,191.15,13.55,93.67,2755,891,727866415,868,2593,73.68,30.57,30.83,2.87,17.58,52.79,87.19,29.54
Indonesia,Europe,Lower-Middle,2002,11250,2549,114.44,11.9,76.24,3698,3198,952744004,43731,3909,72.2,28.13,26.93,8.61,12.2,68.96,50.86,40.21
Russia,Europe,Upper-Middle,2011,30083,7210,443.59,10.8,70.77,1870,3344,830475183,27033,4828,32.97,15.25,13.76,6.86,2.59,42.09,71.91,44.3
Russia,Asia,Upper-Middle,2021,8576,6160,490.71,37.12,79.6,940,2208,654687420,38177,4444,41.06,15.62,7.6,8.82,15.44,77.73,50.7,45.07
China,South America,Lower-Middle,2022,18506,3595,19.81,44.49,86.71,1944,8413,1291687939,30908,3602,44.38,39.56,34.41,1.26,15.24,74.44,65.64,59.58
Brazil,South America,Upper-Middle,2007,15551,1263,277.77,12.3,67.74,4377,9417,201042012,38487,3205,33.13,5.84,35.97,4.81,6.14,44.17,75.47,34.59
South Africa,South America,Upper-Middle,2001,4814,468,177.43,5.18,51.48,2181,9082,1353440221,42558,337,20.85,40.05,10.76,6.79,4.17,68.53,53.92,33.28
Bangladesh,Europe,High,2005,29170,5010,145.72,16.37,81.9,3304,764,93461192,40872,3755,32.18,28.71,15.83,8.98,16.37,86.82,73.78,70.19
Indonesia,Asia,High,2021,35721,838,174.5,33.23,93.03,4791,5227,1338715951,15538,566,76.58,47.13,14.88,3.88,6.93,56.24,95.3,20.53
Russia,Africa,Lower-Middle,2009,2515,1921,323.05,19.06,78.12,4757,8902,500989270,42851,2251,58.21,49.88,37.81,3.2,17.02,47.29,83.58,30.47
Pakistan,Europe,Upper-Middle,2011,10736,2075,103.45,27.91,58.48,4402,380,958680450,39474,6627,43.92,34.86,12.17,9.14,1.35,79.09,88.33,50.45
USA,Europe,High,2020,36068,6314,457.3,37.47,61.17,2844,1742,504754399,51299,8152,62.58,23.55,10.83,0.57,10.24,34.96,78.44,30.44
India,Asia,Low,2009,42291,2496,238.4,21.02,90.94,4726,5269,1363884044,10723,3708,71.79,26.38,11.36,4.85,4.0,88.29,93.92,87.19
Brazil,North America,Upper-Middle,2009,45152,7479,169.53,49.99,50.61,1664,811,1005540208,49561,6972,44.81,14.19,30.55,4.64,13.6,96.04,57.2,66.91
Pakistan,Europe,Low,2022,26867,4873,385.11,15.6,74.69,2938,6409,929293518,26754,4336,52.63,9.47,36.08,1.55,19.95,97.54,72.04,50.29
Brazil,North America,Lower-Middle,2002,16852,8802,18.01,48.93,57.14,3613,9191,527870457,27222,3986,24.49,31.04,18.77,4.01,8.54,60.28,79.25,27.86
China,North America,Upper-Middle,2019,46150,2701,221.61,10.95,62.72,1682,4781,1340637940,19708,9411,61.8,41.25,9.76,7.25,2.46,73.62,92.8,46.96
Bangladesh,South America,Lower-Middle,2009,10846,589,184.1,6.44,63.81,4360,7017,759186748,21054,1040,44.95,16.78,25.5,3.73,6.69,90.02,65.09,65.54
Russia,Asia,Lower-Middle,2008,25656,6549,175.72,37.79,59.87,1297,425,1168478823,55561,5021,50.35,23.88,12.35,3.17,17.88,45.64,50.06,87.82
USA,North America,Lower-Middle,2019,14535,4805,175.16,35.41,85.66,2736,3347,1303001850,20665,7771,49.58,29.96,7.25,7.84,15.43,31.94,97.75,53.09
Pakistan,Asia,Lower-Middle,2018,16608,6009,25.32,40.75,64.95,4134,5268,1174241647,28440,1901,64.27,45.86,36.02,9.89,5.03,56.92,51.27,68.47
Brazil,South America,Lower-Middle,2013,3353,3339,84.54,17.84,65.55,1068,8037,42217250,20012,8239,60.07,11.24,35.48,7.82,19.1,91.91,57.47,33.68
South Africa,Asia,Upper-Middle,2001,19120,5596,79.52,46.61,70.39,4854,5067,1377447195,9964,2759,49.55,15.66,39.16,8.48,12.63,65.36,70.68,63.65
China,Europe,Low,2004,4676,2808,494.42,6.85,90.6,611,6977,912340411,2479,4057,21.19,46.33,21.59,9.4,3.78,67.12,74.32,36.73
South Africa,North America,Upper-Middle,2019,35423,5361,20.86,2.48,80.97,3284,1630,480357251,28773,2671,63.47,6.78,15.29,8.04,11.66,78.4,90.89,33.87
USA,Asia,Upper-Middle,2007,26420,4157,91.87,15.73,52.78,2988,9737,175398095,7112,2228,81.57,34.53,31.94,9.81,9.3,70.22,71.94,55.65
Pakistan,Africa,Upper-Middle,2006,7329,1945,487.35,40.07,51.77,140,5992,586858325,27263,888,73.87,33.78,11.32,7.5,16.48,33.81,76.82,34.82
China,Asia,High,2005,35154,2550,317.85,33.98,75.49,120,8003,999231358,6522,9797,88.71,22.25,13.52,6.65,7.21,69.26,59.8,70.49
Pakistan,North America,High,2010,39739,2879,230.83,22.37,89.92,2581,2802,998669037,39349,9464,29.74,26.07,13.95,6.96,17.56,75.36,77.89,85.61
Russia,South America,Upper-Middle,2011,25630,97,48.59,13.56,64.55,3369,8774,644723948,10268,4984,35.58,43.47,38.31,9.01,16.33,74.91,67.07,47.55
Nigeria,South America,Low,2017,45857,2414,338.13,3.9,61.15,2744,7396,1366689384,28555,9675,57.75,12.42,30.54,6.86,13.65,80.98,54.84,42.57
China,North America,Upper-Middle,2018,8891,5716,77.52,17.54,83.67,840,4903,322492529,8332,8154,36.51,15.42,9.68,7.64,5.54,66.39,96.38,32.31
South Africa,Europe,Lower-Middle,2009,19824,6508,338.88,23.54,77.09,675,5106,410257282,59313,7388,22.42,28.06,8.25,2.24,19.42,93.0,54.0,47.33
USA,Europe,High,2024,46618,8995,489.8,34.66,75.43,1076,4866,552295829,58823,1218,48.16,23.44,34.5,9.14,11.2,62.5,83.22,59.17
Bangladesh,South America,High,2024,41167,8227,270.67,32.65,56.72,4980,3665,632973022,18139,7398,40.14,30.85,33.08,4.53,18.2,66.27,94.5,46.11
Russia,South America,Upper-Middle,2020,806,7680,114.9,47.42,57.92,3798,8494,479973988,59485,997,38.46,46.44,28.48,1.69,4.71,84.62,58.78,63.62
Nigeria,North America,Upper-Middle,2013,36343,7981,316.39,5.92,62.68,1327,4303,620784567,799,210,86.72,46.27,11.86,8.02,19.68,88.33,61.62,66.37
Bangladesh,Europe,Low,2002,31043,7108,261.34,17.48,59.31,294,89,1321290559,57461,2677,36.69,15.35,21.81,3.63,16.41,75.39,70.91,26.85
India,South America,Low,2017,7744,2852,271.24,24.6,93.72,4669,4318,97203444,54173,2585,29.06,18.6,26.1,1.92,19.01,38.85,64.43,68.84
Russia,Europe,Lower-Middle,2023,7111,8644,244.27,33.86,50.84,4124,1872,868230736,19926,2322,28.77,12.29,37.62,2.64,4.64,53.24,87.19,83.02
USA,South America,Upper-Middle,2014,23206,2136,340.13,25.28,78.17,3588,628,614909815,47764,3513,76.44,46.75,10.93,0.45,8.9,31.41,66.57,21.84
Brazil,Asia,Upper-Middle,2005,19576,6774,290.25,45.73,73.29,4652,969,680418327,58244,4854,70.04,22.9,23.04,1.0,2.4,50.68,98.31,58.59
China,Africa,Upper-Middle,2009,47402,6205,493.63,30.82,64.55,57,3745,1069946846,31154,210,29.06,25.24,10.52,5.97,3.17,69.92,92.08,62.27
Pakistan,Asia,High,2011,33543,1199,414.67,2.94,89.94,1778,8124,751068211,47497,1834,35.38,41.12,20.53,8.68,6.04,86.37,93.87,69.69
USA,South America,Lower-Middle,2006,5771,112,139.7,6.57,80.16,4324,2178,626181482,18164,6648,72.31,28.08,12.0,4.54,19.06,71.0,53.12,47.0
China,Africa,Low,2016,7831,3203,365.62,37.92,94.93,4871,3255,334772487,13528,3232,39.22,10.39,34.27,6.3,13.51,32.79,58.64,77.31
Bangladesh,Africa,High,2000,12053,9250,115.01,36.07,57.59,3269,7245,376378808,25937,3674,88.71,24.7,13.92,8.12,6.64,48.14,58.3,57.79
Pakistan,South America,High,2017,31840,5988,393.35,8.52,53.95,2088,9924,858300148,5089,9008,57.84,33.37,19.6,3.63,19.11,70.46,82.93,48.63
Indonesia,South America,High,2014,12073,9564,82.3,3.89,56.27,2316,1171,1230786744,8633,2077,33.44,37.36,19.27,6.58,14.92,79.63,50.58,70.35
South Africa,Europe,High,2018,21909,801,242.04,29.36,62.12,3425,2050,1321453306,39900,8426,80.12,34.04,35.32,3.57,18.19,90.65,89.51,84.92
India,South America,Lower-Middle,2000,20934,7826,397.4,32.15,68.76,4413,8170,864123331,15959,1946,42.36,10.36,31.52,6.46,18.58,97.74,76.81,76.84
Russia,North America,Upper-Middle,2004,24964,8899,147.26,7.63,88.82,3152,5659,669516066,19668,2454,40.22,18.7,7.02,2.25,15.14,92.43,77.75,85.15
USA,South America,Low,2014,43340,9902,420.19,24.21,62.76,577,9301,590598369,7898,2589,42.92,38.01,7.35,9.78,5.24,62.71,76.33,38.62
India,North America,Low,2002,49285,750,325.63,15.99,91.19,4336,7328,608201218,23592,782,73.77,44.61,24.29,0.85,19.93,82.29,76.23,28.3
Brazil,South America,High,2000,21162,9322,204.79,46.63,70.83,4075,9890,1114022063,56825,9863,32.12,7.12,19.97,5.1,6.84,46.84,59.7,57.4
China,Europe,High,2007,18728,1590,217.47,11.74,79.12,91,7493,404916243,12877,627,46.73,6.9,14.65,2.93,13.6,34.47,63.88,23.11
China,North America,Lower-Middle,2011,49723,3082,463.74,36.93,61.9,3015,4142,900562952,53811,2211,22.16,33.95,32.74,6.05,16.97,33.85,73.89,67.22
USA,Asia,High,2021,7886,6217,116.72,26.39,57.02,226,854,401850617,9803,8619,77.86,29.66,9.5,4.34,3.92,46.89,83.21,36.8
Nigeria,North America,Low,2024,7362,6414,349.75,1.56,89.13,344,5787,584060456,26132,3898,43.85,11.99,39.09,3.14,12.38,32.63,63.33,51.8
Nigeria,Europe,Low,2018,40608,2033,356.57,26.33,54.93,568,1653,1037636983,42555,1358,37.37,29.67,5.84,2.58,7.82,89.52,89.5,65.89
Indonesia,North America,Upper-Middle,2024,26752,8556,462.0,5.87,84.83,2921,1273,283229605,47135,891,60.59,48.85,9.14,1.91,5.26,64.29,89.72,53.82
South Africa,South America,Upper-Middle,2024,9987,5846,359.45,33.29,76.14,883,2944,1126692322,35568,2221,69.35,33.39,15.9,7.85,0.73,86.76,63.42,36.52
Pakistan,South America,Low,2011,48329,7698,296.39,28.71,88.75,762,6149,318265886,55902,8397,76.9,25.21,22.82,2.3,17.5,95.79,77.44,81.63
Brazil,Europe,Low,2012,40903,7944,452.24,1.51,82.3,3771,7184,137611609,24853,6303,44.34,42.24,12.56,7.76,3.15,99.57,67.1,73.52
India,Africa,Lower-Middle,2000,15104,2364,416.27,11.03,62.67,603,225,185097237,15765,9944,76.86,14.58,30.77,4.9,17.62,95.6,59.34,62.08
Nigeria,South America,Lower-Middle,2018,17927,8009,361.22,39.04,75.85,2761,4786,185324319,37259,3435,52.54,23.64,17.51,0.82,12.21,80.16,89.49,68.9
Indonesia,Asia,Low,2005,27701,1699,25.96,14.51,50.59,1688,2350,1315004031,17397,4871,27.08,28.75,6.35,1.74,12.61,60.94,98.58,49.07
Indonesia,Europe,High,2007,3542,7750,193.03,25.46,71.38,3907,7716,1257860622,37499,5863,79.24,27.7,35.72,8.94,16.66,71.86,77.72,46.31
USA,North America,Upper-Middle,2003,10886,6950,319.63,16.29,53.87,4658,9709,1186938314,44136,1463,58.33,46.44,38.04,6.07,10.43,87.15,94.78,31.21
Brazil,North America,Low,2004,12192,3850,265.9,46.15,69.3,1492,2100,557075837,39820,94,62.17,18.17,26.65,1.92,7.47,92.83,81.47,76.25
Bangladesh,Asia,High,2024,15725,2528,166.47,27.29,54.93,792,1126,1015730743,8812,1736,85.62,7.54,33.23,7.07,3.21,96.95,77.72,46.67
Pakistan,South America,Low,2021,17193,7104,80.77,35.11,93.0,2144,7760,117262011,42961,5286,59.14,46.24,9.24,8.25,11.62,81.14,73.53,68.46
South Africa,Europe,Upper-Middle,2006,7161,6109,280.97,5.09,73.54,3596,5344,329449605,19731,6675,20.39,14.77,14.41,3.37,11.29,67.8,61.55,41.0
Russia,Asia,Upper-Middle,2022,43521,8483,150.1,2.98,91.09,3804,2171,501482285,34385,2775,80.94,22.06,16.38,5.61,6.23,97.79,54.13,75.72
USA,South America,Lower-Middle,2003,18761,6259,124.17,13.7,51.01,4618,3266,687934090,58348,9665,39.93,28.89,38.63,3.01,12.2,97.1,71.67,27.37
Pakistan,Europe,Lower-Middle,2019,27878,7165,205.49,16.15,78.69,993,9350,992567289,44451,8059,55.12,48.91,22.93,0.89,9.07,63.43,77.5,63.75
Russia,North America,Lower-Middle,2003,21719,2306,394.89,34.7,63.81,4692,3186,1276371462,43083,4064,34.34,29.09,5.26,4.06,16.21,75.41,74.96,76.53
Russia,Europe,Lower-Middle,2014,12437,3418,249.05,28.89,69.43,752,6390,135144986,41129,5830,40.79,25.15,18.31,7.54,11.41,86.65,84.08,66.22
Brazil,Africa,Upper-Middle,2020,1294,7437,116.08,19.35,89.29,4554,3355,1319181946,35506,4645,68.07,31.26,5.27,4.64,18.71,60.32,59.41,68.73
Brazil,Europe,High,2004,47866,8608,67.28,33.05,94.1,4693,7006,345376018,39868,8315,50.07,48.69,13.32,4.11,10.6,88.06,67.36,56.82
India,Africa,High,2023,7286,2877,254.5,9.01,61.09,4365,9342,1298220679,14531,3068,63.9,41.81,20.91,3.72,17.81,37.8,70.36,59.13
Indonesia,Europe,High,2008,37282,9494,399.24,4.11,92.67,3618,2943,433340718,2933,6342,77.65,12.6,16.32,4.64,10.65,63.68,59.14,24.61
Pakistan,Africa,Low,2001,40660,2537,329.88,42.87,80.99,3281,7751,331518717,25878,1610,43.86,41.15,6.15,3.25,11.38,63.78,94.42,37.56
USA,North America,Lower-Middle,2006,45813,3653,123.75,28.63,92.81,2520,5665,586450467,23893,9133,59.78,42.85,9.07,6.16,7.65,77.93,83.39,70.54
China,South America,Lower-Middle,2016,38621,3571,223.99,32.81,75.31,4020,2458,871104780,7666,9488,74.43,36.08,24.28,0.73,8.3,38.15,54.5,86.18
USA,Africa,Upper-Middle,2015,36675,4567,429.06,16.05,93.23,103,837,1121388064,37641,522,70.06,34.58,29.35,8.09,18.7,37.22,84.93,57.92
India,Africa,Upper-Middle,2016,27532,1693,97.05,19.23,90.16,1385,5906,964463903,41414,5485,57.79,24.84,19.16,1.81,4.85,93.04,76.84,70.79
South Africa,North America,Low,2019,26927,1262,270.72,5.04,55.79,1141,1213,886383323,1971,2267,46.84,33.88,30.6,6.37,2.87,51.26,75.67,67.85
Indonesia,Africa,Low,2022,17858,7395,184.55,42.99,63.99,2526,6629,448620967,9518,8942,48.53,38.19,10.72,4.55,16.69,52.88,98.5,89.96
China,Asia,High,2001,30290,4753,70.85,30.03,60.94,4973,6808,80435314,30116,102,50.32,10.53,9.27,7.76,11.75,84.38,80.29,75.65
Nigeria,North America,Upper-Middle,2010,21121,5484,34.45,5.1,75.74,100,854,514054537,31271,3037,44.42,16.58,34.38,8.28,6.05,59.04,93.94,63.94
South Africa,Asia,Lower-Middle,2001,49321,69,282.38,40.42,86.13,1489,2981,459331220,18312,8380,68.94,13.73,16.87,2.12,8.93,88.3,94.76,28.06
Brazil,North America,High,2000,28865,725,20.17,22.76,84.17,964,1278,577527744,54526,9639,28.78,42.85,20.13,6.8,10.74,58.1,54.97,45.39
Russia,Africa,Lower-Middle,2001,13689,4527,60.69,38.49,82.7,2441,4754,663825332,57575,2187,87.72,35.6,38.17,1.98,12.05,83.24,50.41,37.55
Nigeria,Asia,High,2022,11713,658,180.31,1.62,66.89,32,7745,678396564,15529,877,74.53,25.29,19.84,1.33,16.51,66.77,71.33,79.76
USA,Africa,Lower-Middle,2008,7748,6336,31.32,2.41,56.28,1735,9831,1073682840,4806,8214,40.87,42.17,5.12,9.31,8.19,95.51,87.69,51.23
USA,North America,Low,2021,4869,111,206.22,9.37,59.48,4128,3540,1061593619,13677,1298,22.98,37.26,37.83,1.73,13.69,52.92,90.39,57.47
Brazil,Africa,High,2001,8550,9507,73.88,11.33,83.38,3315,5095,570527003,4281,4885,69.79,46.11,5.49,2.36,16.78,55.39,88.59,87.54
India,Asia,Lower-Middle,2014,29105,1204,181.44,38.43,56.64,1731,9005,347888103,27101,8427,71.41,8.46,28.18,1.39,16.95,97.9,71.92,78.57
Pakistan,Asia,Lower-Middle,2009,38683,9870,397.67,35.63,60.03,1450,8329,536899900,19201,3492,87.45,27.91,16.3,4.76,5.46,81.63,86.75,75.29
Nigeria,Africa,Upper-Middle,2014,15898,9868,316.92,31.19,69.1,4680,9153,678970928,7188,7452,37.76,36.8,21.46,9.2,7.33,84.08,85.22,29.96
Nigeria,Europe,High,2009,41383,3766,228.25,44.36,53.25,2160,2274,1286569699,17890,3243,25.79,14.34,24.15,2.71,12.1,50.72,65.38,21.59
Bangladesh,North America,Lower-Middle,2024,33555,5292,55.0,13.11,59.57,2557,29,814816432,34905,4978,84.06,19.72,19.3,5.46,17.77,67.24,58.27,28.79
South Africa,North America,Upper-Middle,2022,3695,5609,313.38,45.32,56.74,4933,1791,331565783,25920,9654,38.11,23.85,32.1,4.17,15.91,51.95,80.45,71.82
Indonesia,Africa,Lower-Middle,2016,25951,5072,90.22,45.56,92.81,3564,6867,1054271375,38379,7646,70.51,40.74,37.57,3.43,11.89,48.19,83.18,48.75
South Africa,Europe,High,2008,7950,6535,47.53,22.28,58.62,198,4844,370345421,24333,2966,24.25,27.21,8.02,5.76,19.68,67.47,77.83,28.22
Pakistan,Asia,Low,2017,3425,1492,335.36,5.62,88.78,469,7306,1220991290,13185,9257,73.24,27.18,33.01,5.63,9.06,99.14,60.45,71.73
USA,South America,High,2003,15015,1703,456.91,36.6,55.17,2246,8758,561534103,32992,4587,28.89,24.39,9.5,3.66,16.93,45.02,63.56,33.62
USA,South America,High,2008,5810,2552,235.69,17.51,89.14,4456,2254,133121582,20171,7101,68.69,15.29,7.81,8.52,16.46,46.98,84.72,61.23
USA,Africa,Lower-Middle,2015,32317,3319,30.09,39.95,76.97,590,2993,252927498,55092,5695,57.26,46.54,38.45,0.63,18.21,47.02,97.17,71.91
Bangladesh,Europe,Lower-Middle,2003,27908,331,441.35,9.02,88.24,2171,2735,1138552364,36129,4311,86.88,19.3,22.13,0.94,19.76,85.42,96.3,62.56
USA,Europe,High,2015,45028,9266,42.82,27.44,89.03,4725,4609,338462391,50290,1985,22.58,30.54,10.34,9.91,10.17,65.73,75.46,89.55
Pakistan,North America,Upper-Middle,2018,48164,3453,435.08,25.9,76.84,1541,5376,1120067520,9184,8091,40.44,11.7,24.95,7.5,4.31,56.93,93.44,50.39
Brazil,Asia,Upper-Middle,2000,19780,1285,201.99,5.92,91.3,1378,4897,387658606,28074,9710,24.87,24.54,14.21,8.06,9.49,89.07,51.44,41.83
Indonesia,Europe,Upper-Middle,2022,17605,4810,189.04,18.8,76.35,2444,206,216968916,6225,4588,81.54,45.67,21.25,6.07,17.15,50.82,92.2,34.08
Pakistan,South America,Lower-Middle,2005,19047,6990,275.97,5.15,82.07,3001,5236,234145544,12349,4476,61.57,49.8,26.86,4.26,16.8,57.46,73.33,55.26
Indonesia,Asia,Lower-Middle,2009,11274,835,478.97,23.77,68.72,2912,2838,473346406,51827,1408,57.45,21.28,35.42,6.33,7.05,35.15,88.29,79.67
Pakistan,Asia,High,2015,15957,9909,450.38,42.3,91.13,2540,3998,963851842,31293,1819,29.2,11.93,5.11,1.02,1.42,38.32,50.27,86.28
USA,Africa,Low,2003,42811,3244,240.46,14.24,87.09,482,5742,841274319,55247,9431,54.23,19.15,12.49,7.6,10.44,39.57,92.56,88.04
Brazil,Europe,Lower-Middle,2021,4480,4839,350.95,38.48,57.5,868,5289,502211203,31671,1242,47.91,19.73,8.37,5.45,9.74,54.29,79.15,57.2
Nigeria,Africa,High,2021,21386,3825,294.41,9.99,75.94,2999,2479,62858806,34753,2866,42.1,34.0,8.4,9.57,2.17,66.69,61.77,62.37
South Africa,Europe,High,2012,12076,5400,349.8,34.01,90.36,2450,1640,1227995181,33151,6317,74.05,27.33,38.1,6.41,16.0,30.05,67.03,60.71
Russia,North America,Low,2015,32391,583,416.37,45.86,85.69,3716,3288,944337996,7081,7075,24.29,39.58,37.76,1.6,6.03,43.3,59.83,52.62
Brazil,Africa,Upper-Middle,2019,36681,8643,26.9,16.87,93.31,1722,2048,829397756,54195,4906,65.27,36.56,31.23,4.83,13.09,42.3,70.8,30.66
Nigeria,Africa,High,2005,33762,3713,169.62,45.12,60.41,525,5442,525328218,5721,5267,77.61,16.31,27.51,0.67,2.48,47.73,66.17,24.58
India,South America,High,2010,1447,179,480.07,25.77,66.54,2403,5031,525838921,58402,1092,83.51,40.29,34.68,7.48,17.28,41.63,76.19,50.56
